48.6876068 6.1246166 111.39 49509.00 139 0 26.5 326.20 4.116 -96.241 49507.00 19.50 0.00 0.04 80.3 0 29
48.6876411 6.1243558 111.48 49512.00 141 0 26.5 22945.03 4.113 -87.944 49509.00 25.70 0.00 0.04 108.5 1 29
48.6874962 6.1242199 111.67 49513.00 141 0 26.5 330.60 4.114 -93.494 49512.00 24.45 0.00 0.01 89.8 0 29
48.6874428 6.1240168 111.04 49515.00 141 0 26.4 332.20 4.114 -90.794 49513.00 24.45 0.00 0.00 66.0 0 29
48.6873932 6.1238132 110.99 49517.00 140 0 26.4 333.70 4.114 -88.292 49515.00 27.35 0.00 -0.05 59.2 0 29
48.6873055 6.1233850 110.82 49521.00 140 0 26.3 337.10 4.116 -90.269 49517.00 29.52 0.00 -0.12 59.4 0 29
48.6873169 6.1230230 110.48 49525.00 140 0 26.2 22945.03 4.114 -82.970 49521.00 28.66 0.00 -0.06 93.5 1 29
48.6871948 6.1229401 110.56 49526.00 139 0 26.2 341.30 4.117 -83.901 49525.00 29.52 0.00 -0.05 102.7 0 29
48.6871567 6.1227350 110.13 49528.00 139 0 26.1 341.30 4.118 -89.487 49526.00 35.24 0.00 -0.07 161.8 0 29
48.6870956 6.1224127 109.58 49531.00 138 0 26.0 22945.03 4.118 -92.100 49528.00 28.80 0.00 -0.08 35.2 1 29
48.6869774 6.1221433 109.41 49533.00 137 0 26.0 336.50 4.116 -88.394 49531.00 35.24 0.00 -0.15 103.5 0 29
48.6869049 6.1219549 109.10 49535.00 137 0 26.0 337.10 4.115 -94.155 49533.00 35.24 0.00 -0.17 105.3 0 29
48.6868324 6.1217599 109.05 49537.00 136 0 26.0 338.50 4.116 -89.904 49535.00 35.24 0.00 -0.13 152.9 0 29
48.6868248 6.1215501 108.18 49541.00 132 0 25.9 22945.03 4.113 -91.125 49537.00 22.25 0.00 -0.13 -51.5 1 29
48.6868248 6.1213779 108.14 49543.00 133 0 25.9 22945.03 4.113 -88.821 49541.00 21.74 0.00 -0.13 -40.1 1 29
48.6866837 6.1211748 108.12 49544.00 134 0 25.9 341.70 4.115 -90.196 49543.00 28.00 0.00 -0.12 38.6 0 29
48.6867332 6.1210108 107.99 49547.00 136 0 25.8 22945.03 4.115 -80.992 49544.00 24.66 0.00 -0.11 44.6 1 29
48.6866379 6.1208401 107.53 49548.00 136 0 25.8 341.70 4.115 -88.953 49547.00 24.54 0.00 -0.07 3.6 0 29
48.6866150 6.1206450 107.23 49550.00 136 0 25.8 341.60 4.115 -77.042 49548.00 24.54 0.00 -0.11 -13.3 0 29
48.6865616 6.1204481 107.01 49552.00 136 0 25.8 342.50 4.115 -81.686 49550.00 24.54 0.00 -0.16 -40.7 0 29
48.6865120 6.1202469 106.73 49554.00 136 0 25.7 342.00 4.115 -83.204 49552.00 24.54 0.00 -0.19 -34.4 0 29
48.6864624 6.1200585 106.08 49556.00 135 0 25.7 341.10 4.117 -82.994 49554.00 26.65 0.00 -0.13 -20.1 0 29
48.6863937 6.1198130 105.74 49559.00 134 0 25.6 22945.03 4.117 -81.179 49556.00 25.85 0.00 -0.16 -34.4 1 29
48.6862068 6.1195803 105.04 49563.00 131 0 25.6 22945.03 4.115 -88.516 49559.00 23.22 0.00 -0.21 -79.7 1 29
48.6860924 6.1196432 104.73 49566.00 133 0 25.6 341.50 4.116 -90.572 49563.00 24.95 0.00 -0.14 -6.3 0 29
48.6858215 6.1196904 104.27 49570.00 135 0 25.5 22945.03 4.116 -89.790 49566.00 22.25 0.00 -0.11 -8.1 1 29
48.6856689 6.1196961 103.47 49572.00 134 0 25.5 22945.03 4.115 -92.614 49570.00 24.01 0.00 -0.13 -49.2 1 29
48.6855583 6.1197119 103.12 49574.00 135 0 25.5 342.00 4.115 -91.154 49572.00 25.84 0.00 -0.19 -62.3 0 29
48.6854210 6.1197515 102.09 49576.00 134 0 25.5 341.60 4.116 -90.096 49574.00 25.84 0.00 -0.24 -167.7 0 29
48.6852684 6.1198149 100.95 49578.00 134 0 25.4 341.90 4.116 -87.349 49576.00 26.82 0.00 -0.37 -230.5 0 29
48.6851273 6.1198635 100.44 49580.00 133 0 25.4 341.30 4.115 -92.582 49578.00 25.97 0.00 -0.53 -300.0 0 29
48.6848679 6.1199055 101.15 49583.00 133 0 25.4 22945.03 4.115 -92.124 49580.00 22.14 0.00 -0.51 -105.5 1 29
48.6847801 6.1199512 101.66 49585.00 134 0 25.3 22945.03 4.115 -79.063 49583.00 23.22 0.00 -0.05 134.3 1 29
48.6845970 6.1199856 102.26 49589.00 138 0 25.2 22945.03 4.117 -80.277 49585.00 18.25 0.00 0.24 205.7 1 29
48.6844902 6.1200366 102.18 49590.00 140 0 25.2 334.10 4.117 -91.017 49589.00 23.91 0.00 0.14 175.8 0 29
48.6843796 6.1200686 102.60 49592.00 142 0 25.2 331.30 4.115 -79.431 49590.00 23.91 0.00 0.12 185.5 0 29
48.6842842 6.1200933 102.54 49594.00 142 0 25.1 328.90 4.115 -84.471 49592.00 23.91 0.00 0.11 145.7 0 29
48.6841011 6.1202469 103.05 49598.00 145 0 25.1 22945.03 4.115 -83.004 49594.00 23.72 0.00 0.10 154.7 1 29
48.6839905 6.1202235 103.11 49600.00 147 0 25.1 321.50 4.115 -87.447 49598.00 19.52 0.00 0.06 111.4 0 29
48.6838799 6.1202598 103.03 49602.00 148 0 25.1 319.40 4.115 -80.061 49600.00 19.52 0.00 0.07 85.7 0 29
48.6837578 6.1202965 103.32 49604.00 149 0 25.1 316.90 4.115 -80.797 49602.00 19.52 0.00 0.04 110.5 0 29
48.6835747 6.1203585 103.58 49607.00 150 0 25.0 313.00 4.117 -78.090 49604.00 21.93 0.00 0.07 124.0 0 29
48.6833191 6.1204019 103.44 49610.00 150 0 25.0 22945.03 4.117 -80.473 49607.00 21.64 0.00 0.07 105.3 1 29
48.6831970 6.1204467 103.36 49613.00 152 0 25.0 313.90 4.117 -80.344 49610.00 24.24 0.00 0.00 78.8 0 29
48.6830750 6.1204734 103.19 49615.00 153 0 24.9 311.80 4.114 -84.966 49613.00 22.45 0.00 -0.03 30.5 0 29
48.6829567 6.1204948 103.43 49617.00 153 0 24.9 309.20 4.115 -83.897 49615.00 22.11 0.00 -0.05 48.9 0 29
48.6828499 6.1205168 102.95 49619.00 152 0 24.9 307.00 4.117 -81.368 49617.00 22.11 0.00 -0.02 41.7 0 29
48.6827354 6.1205649 102.83 49621.00 152 0 24.9 305.50 4.117 -81.138 49619.00 21.63 0.00 -0.06 3.9 0 29
48.6824188 6.1206703 102.23 49624.00 151 0 24.8 22945.03 4.115 -83.541 49621.00 23.90 0.00 -0.08 -13.1 1 29
48.6825638 6.1206264 102.12 49624.00 150 0 24.9 305.50 4.116 -80.450 49624.00 19.24 0.00 -0.12 -90.8 0 29
48.6821518 6.1207056 101.21 49628.00 150 0 24.8 22945.03 4.117 -79.517 49624.00 27.14 0.00 -0.18 -44.5 1 29
48.6820030 6.1205883 99.01 49634.00 146 0 24.8 308.60 4.117 -78.542 49628.00 15.19 0.00 -0.42 -244.4 0 29
48.6816826 6.1204677 99.66 49637.00 146 0 24.7 22945.03 4.115 -80.860 49634.00 23.90 0.00 -0.34 16.8 1 29
48.6818199 6.1206117 100.12 49638.00 147 0 24.7 306.10 4.115 -87.274 49637.00 19.33 0.00 0.03 134.6 0 29
48.6817207 6.1206665 100.53 49640.00 148 0 24.7 304.00 4.112 -80.516 49638.00 19.33 0.00 0.14 197.9 0 29
48.6813126 6.1205854 101.19 49644.00 152 0 24.7 22945.03 4.117 -82.144 49640.00 15.05 0.00 0.24 191.7 1 29
